id,section,difficulty,topic,question,A,B,C,D,answer
AIML_ML_091,AI & ML,Easy,ML,A model with high training AND test error is:,Underfitting,Overfitting,Well-generalized,Regularized,A
AIML_ML_092,AI & ML,Easy,ML,Which of these is a distance-based algorithm?,KNN,Naive Bayes,Decision Tree,Logistic Regression,A
AIML_ML_093,AI & ML,Hard,ML,Which algorithm works best with high-dimensional sparse data?,Naive Bayes,KNN,SVM-linear or Naive Bayes,K-Means,C
AIML_ML_094,AI & ML,Hard,ML,What is the curse of dimensionality?,"As dimensions increase, data becomes sparse and distances less meaningful",More dimensions always help,Dimensions reduce model accuracy,Dimensions slow training,A
AIML_ML_095,AI & ML,Hard,ML,Ensemble methods combine models to:,Reduce bias AND variance compared to any single model,Only reduce variance,Only reduce bias,Increase interpretability,A
AIML_ML_096,AI & ML,Medium,ML,What does 'fit' mean in the context of a scikit-learn transformer?,Learns transformation parameters from training data,Applies the transformation,Creates a new dataset,Validates the data,A
AIML_Python_001,AI & ML,Easy,Python,Python is:,"High-level, interpreted, general-purpose language",Low-level compiled language,Markup language,Database language,A
AIML_Python_002,AI & ML,Easy,Python,Python's data type for ordered mutable collection:,list,tuple,set,dict,A
AIML_Python_003,AI & ML,Easy,Python,Python's data type for ordered immutable collection:,tuple,list,set,frozenset,A
AIML_Python_004,AI & ML,Easy,Python,Python's data type for unordered unique elements:,set,list,tuple,dict,A
AIML_Python_005,AI & ML,Easy,Python,Python dictionary is:,Unordered key-value pairs (ordered insertion in Python 3.7+),Ordered list,Fixed-size array,Sorted collection,A
AIML_Python_006,AI & ML,Easy,Python,Output of type(42):,<class 'int'>,<class 'float'>,<class 'str'>,<class 'num'>,A
AIML_Python_007,AI & ML,Easy,Python,Output of type(3.14):,<class 'float'>,<class 'int'>,<class 'double'>,<class 'number'>,A
AIML_Python_008,AI & ML,Easy,Python,What is list comprehension?,Creates list using concise one-line expression,Creates dictionary,Deletes list elements,Filters None values,A
AIML_Python_009,AI & ML,Easy,Python,"Output of len([1,2,3,4]):",4,3,5,Error,A
AIML_Python_010,AI & ML,Easy,Python,Keyword to define a function:,def,function,func,define,A
AIML_Python_011,AI & ML,Medium,Python,*args allows:,Variable number of positional arguments,Keyword arguments only,No arguments,Fixed arguments,A
AIML_Python_012,AI & ML,Medium,Python,**kwargs allows:,Variable number of keyword arguments,Positional arguments,Default only,No extras,A
AIML_Python_013,AI & ML,Medium,Python,Lambda function is:,Anonymous single-expression function,Named function,Class method,Generator,A
AIML_Python_014,AI & ML,Medium,Python,map() does:,Applies function to each item in iterable,Filters elements,Reduces to one value,Sorts elements,A
AIML_Python_015,AI & ML,Medium,Python,filter() does:,Returns elements where function returns True,Applies to all,Reduces to one value,Maps and filters,A
AIML_Python_016,AI & ML,Hard,Python,Generator in Python:,Function that yields values one at a time,Function returning list,Class for objects,List comprehension variant,A
AIML_Python_017,AI & ML,Easy,Python,List vs Tuple key difference:,"Lists mutable, tuples immutable",Both mutable,Both immutable,"Tuples mutable, lists not",A
AIML_Python_018,AI & ML,Medium,Python,'with' statement:,"Manages context (e.g., file handling)",Creates new function,Defines class,Loops over items,A
AIML_Python_019,AI & ML,Hard,Python,Decorator in Python:,Function that modifies another function,Class attribute,Loop modifier,Module importer,A
AIML_Python_020,AI & ML,Hard,Python,GIL (Global Interpreter Lock):,Allows only one thread to run Python bytecode at a time,Locks database,Security feature,Memory manager,A
AIML_Python_021,AI & ML,Easy,Python,'pass' in Python:,Does nothing; placeholder,Breaks loop,Skips iteration,Returns None,A
AIML_Python_022,AI & ML,Medium,Python,"Output of range(2,10,3):","range producing [2,5,8]","[2,4,6,8]","[3,6,9]","[2,5,7]",A
AIML_Python_023,AI & ML,Easy,Python,Module for regular expressions:,re,regex,regexp,match,A
AIML_Python_024,AI & ML,Easy,Python,os.path.join() does:,Safely joins file path components,Joins lists,Concatenates strings,Opens files,A
AIML_Python_025,AI & ML,Medium,Python,pickle module does:,Serializes/deserializes Python objects,Handles images,Manages dates,Creates databases,A
AIML_Python_026,AI & ML,Medium,Python,Virtual environment in Python:,Isolated Python environment with its own packages,Shared global env,Cloud-based env,Test env only,A
AIML_Python_027,AI & ML,Medium,Python,__init__.py makes:,Directory into a Python package,Initializes classes,Defines main,Imports modules,A
AIML_Python_028,AI & ML,Medium,Python,'self' in a class:,Current instance of the class,Parent class,Class itself,Global variable,A
AIML_Python_029,AI & ML,Medium,Python,__str__ method:,User-friendly string representation of object,Constructor,Destructor,Comparison method,A
AIML_Python_030,AI & ML,Medium,Python,Method overriding:,Subclass redefines parent class method,Creating new methods,Deleting methods,Calling parent,A
AIML_Python_031,AI & ML,Medium,Python,Multiple inheritance:,Class inherits from more than one parent,Single inheritance,Method reuse,Two identical classes,A
AIML_Python_032,AI & ML,Hard,Python,MRO (Method Resolution Order):,Order Python looks up methods in inheritance hierarchy,Order of method calls,Order of attribute access,Import order,A
AIML_Python_033,AI & ML,Medium,Python,super() does:,Calls parent class method,Deletes parent,Creates superclass,Imports parent,A
AIML_Python_034,AI & ML,Hard,Python,Property in Python:,Manages attribute access via getter/setter methods,Class variable,Module attribute,External file,A
AIML_Python_035,AI & ML,Hard,Python,@staticmethod vs @classmethod:,staticmethod: no class/instance access; classmethod: gets class as first arg,Both same,staticmethod needs cls,classmethod has no self,A
AIML_Python_036,AI & ML,Hard,Python,Python garbage collection:,Reference counting + cyclic GC,Manual management,OS-level,Stack-based,A
AIML_Python_037,AI & ML,Medium,Python,itertools module:,Efficient iterators for looping,Database connections,Math operations,File I/O,A
AIML_Python_038,AI & ML,Medium,Python,collections module:,Specialized container datatypes,Basic containers,File handling,Network ops,A
AIML_Python_039,AI & ML,Hard,Python,namedtuple:,Immutable sequence with named fields,Mutable dictionary,Regular tuple,Named list,A
AIML_Python_040,AI & ML,Hard,Python,defaultdict:,Dict providing default values for missing keys,Ordered dict,Read-only dict,Shared dict,A
AIML_Python_041,AI & ML,Medium,Python,Counter in collections:,Counts occurrences of hashable items,Counts file lines,Counts iterations,Counts function calls,A
AIML_Python_042,AI & ML,Easy,Python,json.dumps():,Converts Python object to JSON string,Reads JSON from file,Parses JSON string,Deletes JSON keys,A
AIML_Python_043,AI & ML,Easy,Python,json.loads():,Parses JSON string to Python object,Writes JSON to file,Dumps to JSON,Loads JSON file,A
AIML_Python_044,AI & ML,Medium,Python,== vs 'is' in Python:,== checks value; 'is' checks identity,Both check values,Both check identity,== checks type,A
AIML_Python_045,AI & ML,Hard,Python,Shallow copy vs deep copy:,Shallow copies reference; deep copies all nested objects,Both copy all,Shallow copies all,Deep copies top level,A
AIML_Python_046,AI & ML,Easy,Python,from module import function:,Imports specific function from module,Imports all,Imports module only,Requires reload,A
AIML_Python_047,AI & ML,Easy,Python,Output of 2**10:,1024,20,100,512,A
AIML_Python_048,AI & ML,Medium,Python,zip() does:,Combines two iterables element-wise,Compresses files,Sorts lists,Merges by appending,A
AIML_Python_049,AI & ML,Easy,Python,enumerate() does:,Adds index to iterable elements,Counts elements,Removes duplicates,Sorts by index,A
AIML_Python_050,AI & ML,Medium,Python,append() vs extend():,append adds one item; extend adds multiple items,Both add one,Both add multiple,extend adds at start,A
AIML_Python_051,AI & ML,Easy,Python,sorted() returns:,New sorted list,Sorted in-place,Tuple,Generator,A
AIML_Python_052,AI & ML,Easy,Python,List slicing:,Extracts sub-list using indices,Deletes elements,Sorts list,Copies whole list,A
AIML_Python_053,AI & ML,Medium,Python,frozenset is:,Immutable version of set,Ordered set,Sorted set,Set with None,A
AIML_Python_054,AI & ML,Medium,Python,Empty containers are:,Falsy in Python,Truthy,Neither,Depends on type,A
AIML_Python_055,AI & ML,Medium,Python,assert does:,Tests condition; raises AssertionError if False,Logs message,Breaks code,Skips block,A
AIML_Python_056,AI & ML,Easy,Python,finally in try-except:,Runs regardless of exception,Catches all,Raises exceptions,Skips code,A
AIML_Python_057,AI & ML,Hard,Python,Context manager:,Object with __enter__ and __exit__ for resource management,Decorator,Generator,Class method,A
AIML_Python_058,AI & ML,Easy,Python,any() does:,Returns True if any element is truthy,Returns True if all truthy,Returns False always,Counts truthy,A
AIML_Python_059,AI & ML,Easy,Python,all() does:,Returns True only if all elements truthy,Returns True if any truthy,Returns count,Returns False if empty,A
AIML_Python_060,AI & ML,Medium,Python,__len__ method:,Returns length of an object,Returns string,Returns type,Returns hash,A
AIML_Python_061,AI & ML,Medium,Python,@property decorator:,Accesses method like an attribute,Creates static methods,Deletes attributes,Overrides operators,A
AIML_Python_062,AI & ML,Hard,Python,Duck typing:,"If it behaves like a type, treat it as that type",Strict type checking,Explicit casting,Dynamic memory allocation,A
AIML_Python_063,AI & ML,Hard,Python,__slots__ in Python:,Restricts instance attributes to save memory,Adds all attributes,Enables multiple inheritance,Defines slots in memory,A
AIML_Python_064,AI & ML,Hard,Python,asyncio is for:,Writing async (non-blocking) I/O code,Multi-threading,GPU processing,File parsing,A
AIML_Python_065,AI & ML,Hard,Python,yield in a generator:,Pauses execution and returns value to caller,Ends function,Returns all values,Acts like return in loops,A
AIML_Python_066,AI & ML,Medium,Python,@classmethod receives:,cls as first argument (the class itself),self (instance),No arguments,Both cls and self,A
AIML_Python_067,AI & ML,Hard,Python,Monkey patching:,Dynamically modifying class/module at runtime,Fixing code bugs,Unit testing,Static analysis,A
AIML_Python_068,AI & ML,Hard,Python,__call__ enables:,Calling object like a function,Calling class,Calling superclass,Returning the object,A
AIML_Python_069,AI & ML,Hard,Python,Memoization:,Caching expensive function results,Memory management,Module caching,Variable storing,A
AIML_Python_070,AI & ML,Medium,Python,@functools.lru_cache:,Memoization decorator,Only in Python 3.9+,Least-recently-used memory,Loading cache from disk,A
AIML_Python_071,AI & ML,Hard,Python,async/await is used for:,Asynchronous coroutines,Multithreading,Multiprocessing,Parallel loops,A
AIML_Python_072,AI & ML,Hard,Python,__getitem__ enables:,Indexing with [],Iteration,Length check,String conversion,A
AIML_Python_073,AI & ML,Medium,Python,Type hinting:,Annotating variables/functions with expected types,Enforcing types at runtime,Converting types,Hiding types,A
AIML_Python_074,AI & ML,Medium,Python,dataclass decorator:,"Auto-generates __init__, __repr__, __eq__ etc.",Creates GUIs,Creates DB models,Adds slots,A
AIML_Python_075,AI & ML,Hard,Python,Threads vs processes in Python:,Threads share memory; processes have separate memory,Both share,Both separate,Processes faster always,A
AIML_Python_076,AI & ML,Hard,Python,multiprocessing bypasses GIL because:,Each process has its own Python interpreter,Processes run in one interpreter,GIL only affects I/O,GIL doesn't exist in multiprocessing,A
AIML_Python_077,AI & ML,Hard,Python,__hash__ controls:,Whether object can be used as dict key or set element,Equality,Ordering,Memory address,A
AIML_Python_078,AI & ML,Hard,Python,functools.partial:,Pre-fills some arguments of a function creating new function,Creates partial class,Reduces function,Wraps in decorator,A
AIML_Python_079,AI & ML,Medium,Python,Walrus operator (:=):,Assigns value within an expression,Creates variable separately,Compares values,Defines walrus type,A
AIML_Python_080,AI & ML,Easy,Python,f-string example:,f'Hello {name}',"format('Hello', name)",'Hello' % name,'Hello'.format(name),A
AIML_Python_081,AI & ML,Easy,Python,str.split() returns:,A list of substrings,A tuple,A generator,A set,A
AIML_Python_082,AI & ML,Easy,Python,NumPy primary use:,Numerical computing with multi-dimensional arrays,Web development,Database management,UI design,A
AIML_Python_083,AI & ML,Easy,Python,pandas primary use:,Data manipulation and analysis with DataFrames,Numerical computing,Image processing,Deep learning,A
AIML_Python_084,AI & ML,Easy,Python,matplotlib primary use:,Data visualization,Data manipulation,Machine learning,Web scraping,A
AIML_Python_085,AI & ML,Easy,Python,pd.read_csv():,Reads CSV file into a DataFrame,Writes CSV,Creates CSV,Deletes rows,A
AIML_Python_086,AI & ML,Easy,Python,df.head():,Shows first 5 rows of DataFrame,Shows last 5,Shows all,Shows column names only,A
AIML_Python_087,AI & ML,Easy,Python,df.dropna():,Removes rows with missing values,Fills missing values,Counts NaN,Replaces missing,A
AIML_Python_088,AI & ML,Easy,Python,df.fillna(value):,Fills missing values with specified value,Drops missing rows,Counts NaN,Creates column,A
AIML_Python_089,AI & ML,Medium,Python,Vectorized NumPy operation:,Applied element-wise without explicit loops,Loop-based,Manual element access,GPU operations,A
AIML_Python_090,AI & ML,Medium,Python,np.array vs list:,np.array supports vectorized math; list is general-purpose,Both identical,List is faster,np.array is slower,A
AIML_Python_091,AI & ML,Easy,Python,How to install packages in Python:,pip install package_name,python install,py install,npm install,A
AIML_Python_092,AI & ML,Easy,Python,What is pip?,Package installer for Python,Python interpreter,Python IDE,Python debugger,A
AIML_Python_093,AI & ML,Easy,Python,What is a Python module?,A .py file containing reusable code,A Python class,A virtual env,A package manager,A
AIML_Python_094,AI & ML,Easy,Python,What is a Python package?,A directory of modules with __init__.py,A single .py file,A compiled library,A Python version,A
AIML_Python_095,AI & ML,Easy,Python,str() function:,Converts object to string,Creates string class,Concatenates strings,Formats strings,A
AIML_Python_096,AI & ML,Easy,Python,int() function:,Converts to integer,Creates integer class,Adds integers,Compares integers,A
AIML_Python_097,AI & ML,Easy,Python,What is the output of bool(0)?,False,True,0,,A
AIML_Python_098,AI & ML,Easy,Python,What is the output of bool([]):,False,True,[],,A
AIML_Python_099,AI & ML,Hard,Python,in operator with sets is O(?):,O(1) average,O(n),O(log n),O(n²),A
AIML_Python_100,AI & ML,Medium,Python,"In Python 3, / operator does:",True division (returns float),Integer division,Modulo,Floor division,A
AIML_Python_101,AI & ML,Easy,Python,// operator in Python:,Floor division,Ceiling division,True division,Power,A
AIML_Python_102,AI & ML,Easy,Python,% operator in Python:,Modulo (remainder),Percentage,Multiplication,Division,A
AIML_Deep_Learning_001,AI & ML,Easy,Deep Learning,What is a neural network?,Layers of interconnected neurons that learn representations,Decision tree variant,Ensemble of models,Statistical test,A
AIML_Deep_Learning_002,AI & ML,Easy,Deep Learning,What is the hidden layer?,Layer between input and output learning representations,Input layer,Output layer,Activation layer,A
AIML_Deep_Learning_003,AI & ML,Medium,Deep Learning,What is backpropagation?,Algorithm computing gradients via chain rule,Forward computation,Weight init,Data preprocessing,A
AIML_Deep_Learning_004,AI & ML,Easy,Deep Learning,What is an epoch?,One complete pass through the training dataset,One batch update,One prediction,One feature processed,A
AIML_Deep_Learning_005,AI & ML,Medium,Deep Learning,Purpose of activation functions:,Introduce non-linearity,Normalize inputs,Reduce dimensions,Speed up training,A
AIML_Deep_Learning_006,AI & ML,Hard,Deep Learning,Vanishing gradient problem:,Gradients too small in early layers,Gradients too large,Loss increases,Accuracy drops,A
AIML_Deep_Learning_007,AI & ML,Hard,Deep Learning,Exploding gradient problem:,Gradients become very large causing unstable updates,Gradients too small,Activation saturation,Memory overflow,A
AIML_Deep_Learning_008,AI & ML,Hard,Deep Learning,Gradient clipping:,Limits gradient magnitude to prevent exploding gradients,Clips input values,Removes neurons,Regularization only,A
AIML_Deep_Learning_009,AI & ML,Easy,Deep Learning,ReLU: f(x) = ?,"max(0, x)",1/(1+e^-x),tanh(x),x,A
AIML_Deep_Learning_010,AI & ML,Medium,Deep Learning,Leaky ReLU:,ReLU with small slope for negative inputs,ReLU with clipping,Parametric ReLU,ELU,A
AIML_Deep_Learning_011,AI & ML,Easy,Deep Learning,Sigmoid range:,"(0, 1)","(-1, 1)","(0, ∞)","(-∞, ∞)",A
AIML_Deep_Learning_012,AI & ML,Easy,Deep Learning,Tanh range:,"(-1, 1)","(0, 1)","(0, ∞)","(-∞, ∞)",A
AIML_Deep_Learning_013,AI & ML,Hard,Deep Learning,Why Sigmoid not preferred in hidden layers:,Causes vanishing gradients,Always preferred,Too expensive,Too complex,A
AIML_Deep_Learning_014,AI & ML,Hard,Deep Learning,Batch Normalization:,Normalizes activations within a batch to stabilize training,Normalizes data,Normalizes weights,Normalizes gradients,A
AIML_Deep_Learning_015,AI & ML,Hard,Deep Learning,Layer Normalization:,Normalizes across features for one sample (Transformers),Normalizes across batch,Normalizes weights,Normalizes loss,A
AIML_Deep_Learning_016,AI & ML,Easy,Deep Learning,CNN is:,Network using convolutional layers to extract spatial features,Fully connected network,Recurrent network,Graph network,A
